G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM,SEASON,SEASON_START
66,16065,2398,5412,0.443,497,1464,0.339,1901,3948,0.482,1029,1334,0.7709999999999999,665,2157,2822,1380,565,337,926,1226,6322,DAL,2011-12,2011
66,15940,2611,5463,0.478,552,1405,0.393,2059,4058,0.507,1067,1427,0.748,683,2153,2836,1528,490,293,895,1143,6841,SAS,2011-12,2011
66,15965,2275,5162,0.441,670,1785,0.375,1605,3377,0.475,995,1508,0.66,742,2060,2802,1321,451,275,984,1168,6215,ORL,2011-12,2011
66,15940,2341,5086,0.46,363,988,0.3670000000000001,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062,BOS,2011-12,2011
66,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453,GSW,2011-12,2011
66,15840,2495,5445,0.458,444,1295,0.343,2051,4150,0.494,1058,1397,0.757,717,2035,2752,1486,431,366,928,1233,6492,PHO,2011-12,2011
66,15940,2467,5462,0.452,419,1117,0.375,2048,4345,0.471,1006,1394,0.722,915,2165,3080,1527,456,388,923,1139,6359,CHI,2011-12,2011
66,16065,2429,5319,0.457,362,1112,0.326,2067,4207,0.491,1202,1589,0.7559999999999999,799,2251,3050,1485,390,351,997,1109,6422,LAL,2011-12,2011
66,15940,2355,5434,0.433,473,1423,0.332,1882,4011,0.469,1281,1662,0.7709999999999999,797,2089,2886,1290,436,293,1001,1212,6464,MIN,2011-12,2011
66,15890,2262,5320,0.425,507,1481,0.342,1755,3839,0.457,1113,1433,0.777,783,1879,2662,1311,493,260,995,1268,6144,NJN,2011-12,2011
66,15965,2268,5154,0.44,365,1075,0.34,1903,4079,0.467,1085,1410,0.77,697,2074,2771,1382,429,321,1001,1532,5986,TOR,2011-12,2011
66,15940,2365,5335,0.443,517,1538,0.336,1848,3797,0.487,1211,1634,0.741,743,2012,2755,1328,622,276,1056,1391,6458,NYK,2011-12,2011
66,16165,2523,5531,0.456,273,845,0.32299999999999995,2250,4686,0.48,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577,UTA,2011-12,2011
66,15965,2402,5417,0.443,478,1382,0.34600000000000003,1924,4035,0.477,1133,1423,0.7959999999999999,735,1949,2684,1349,528,322,935,1251,6415,POR,2011-12,2011
66,15890,2193,5293,0.414,263,892,0.295,1930,4401,0.439,1090,1462,0.746,677,1894,2571,1326,397,361,957,1249,5739,CHA,2011-12,2011
66,15965,2439,5366,0.455,514,1441,0.35700000000000004,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438,LAC,2011-12,2011
66,16040,2446,5212,0.469,370,1030,0.359,2076,4182,0.496,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500,MIA,2011-12,2011
66,15940,2300,5103,0.451,259,777,0.333,2041,4326,0.472,1057,1397,0.757,724,1991,2715,1368,488,316,1024,1324,5916,NOH,2011-12,2011
66,15865,2414,5475,0.441,344,1075,0.32,2070,4400,0.47,1008,1386,0.727,775,1975,2750,1262,527,417,1008,1405,6180,WAS,2011-12,2011
66,15965,2291,5232,0.438,317,916,0.34600000000000003,1974,4316,0.457,1098,1461,0.752,775,1882,2657,1232,460,278,1033,1293,5997,DET,2011-12,2011
66,15915,2471,5516,0.448,349,963,0.362,2122,4553,0.466,889,1198,0.742,704,2144,2848,1453,526,340,738,1157,6180,PHI,2011-12,2011
82,19730,2993,6901,0.434,547,1581,0.34600000000000003,2446,5320,0.46,1380,1826,0.7559999999999999,1004,2359,3363,1694,647,334,1149,1737,7913,CLE,2012-13,2012
82,19830,3086,6904,0.447,610,1681,0.363,2476,5223,0.474,1437,1869,0.769,943,2385,3328,1708,671,342,1199,1717,8219,SAC,2012-13,2012
82,19905,3339,6983,0.478,521,1518,0.343,2818,5465,0.516,1505,2148,0.701,1092,2601,3693,2002,762,533,1253,1682,8704,DEN,2012-13,2012
82,19780,3124,6782,0.461,867,2369,0.366,2257,4413,0.511,1573,2087,0.754,909,2652,3561,1902,679,359,1348,1662,8688,HOU,2012-13,2012
81,19590,2845,6525,0.436,555,1599,0.34700000000000003,2290,4926,0.465,1429,1915,0.746,1043,2671,3714,1645,580,513,1227,1623,7674,IND,2012-13,2012
82,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108,MIL,2012-13,2012
82,19805,2964,6679,0.444,382,1107,0.345,2582,5572,0.463,1349,1746,0.773,1059,2445,3504,1715,703,436,1144,1660,7659,MEM,2012-13,2012
82,19830,3126,6504,0.481,598,1588,0.377,2528,4916,0.514,1819,2196,0.828,854,2725,3579,1753,679,624,1253,1654,8669,OKC,2012-13,2012
82,19855,2942,6544,0.45,628,1760,0.35700000000000004,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944,BRK,2012-13,2012
82,19855,3084,6644,0.464,706,1901,0.371,2378,4743,0.501,1158,1619,0.715,758,2593,3351,2007,664,369,1219,1473,8032,ATL,2012-13,2012
82,19980,3182,6892,0.462,606,1628,0.3720000000000001,2576,5264,0.489,1323,1669,0.7929999999999999,767,2670,3437,1906,648,454,1144,1698,8293,DAL,2012-13,2012
82,19880,3210,6675,0.481,663,1764,0.376,2547,4911,0.519,1365,1725,0.7909999999999999,666,2721,3387,2058,695,446,1206,1427,8448,SAS,2012-13,2012
82,19780,3093,6904,0.448,506,1537,0.329,2587,5367,0.482,1026,1359,0.755,890,2612,3502,1871,528,358,1191,1591,7718,ORL,2012-13,2012
81,19840,3001,6459,0.465,498,1390,0.358,2503,5069,0.494,1318,1698,0.7759999999999999,654,2533,3187,1843,667,365,1181,1717,7818,BOS,2012-13,2012
82,19805,3130,6840,0.458,658,1632,0.403,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296,GSW,2012-13,2012
82,19830,2926,6698,0.4370000000000001,446,1265,0.353,2480,5433,0.456,1343,1738,0.773,1026,2514,3540,1886,588,417,1171,1617,7641,CHI,2012-13,2012
82,19805,3061,6917,0.443,480,1455,0.33,2581,5462,0.473,1203,1618,0.7440000000000001,959,2454,3413,1855,659,434,1278,1688,7805,PHO,2012-13,2012
82,19980,2979,6685,0.446,571,1665,0.343,2408,5020,0.48,1442,1831,0.7879999999999999,871,2426,3297,1765,595,392,1124,1836,7971,TOR,2012-13,2012
82,19755,3041,6640,0.458,715,2015,0.355,2326,4625,0.503,1584,2289,0.6920000000000001,942,2732,3674,1818,576,429,1232,1467,8381,LAL,2012-13,2012
82,19730,2943,6702,0.439,450,1475,0.305,2493,5227,0.477,1515,2042,0.742,973,2473,3446,1836,700,387,1214,1509,7851,MIN,2012-13,2012
82,19880,3046,6710,0.454,507,1385,0.366,2539,5325,0.477,1439,1883,0.764,989,2457,3446,1859,690,515,1210,1750,8038,UTA,2012-13,2012
82,19730,2996,6689,0.448,891,2371,0.376,2105,4318,0.487,1313,1729,0.759,890,2436,3326,1579,672,294,988,1650,8196,NYK,2012-13,2012
82,19855,3009,6715,0.448,673,1904,0.353,2336,4811,0.486,1304,1680,0.7759999999999999,874,2474,3348,1784,538,353,1203,1518,7995,POR,2012-13,2012
82,19805,2823,6649,0.425,469,1399,0.335,2354,5250,0.448,1546,2060,0.75,917,2389,3306,1587,591,479,1153,1561,7661,CHA,2012-13,2012
82,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289,LAC,2012-13,2012
82,19880,3148,6348,0.496,717,1809,0.396,2431,4539,0.536,1423,1887,0.754,676,2490,3166,1890,710,441,1143,1533,8436,MIA,2012-13,2012
82,19780,2955,6589,0.448,535,1474,0.363,2420,5115,0.473,1269,1636,0.7759999999999999,988,2426,3414,1721,520,440,1193,1673,7714,NOH,2012-13,2012
82,19855,2910,6693,0.435,545,1495,0.365,2365,5198,0.455,1279,1746,0.733,887,2652,3539,1775,598,376,1238,1681,7644,WAS,2012-13,2012
82,19805,2979,6638,0.449,513,1440,0.35600000000000004,2466,5198,0.474,1307,1870,0.6990000000000001,991,2463,3454,1742,574,400,1241,1623,7778,DET,2012-13,2012
82,19755,3059,6895,0.444,518,1438,0.36,2541,5457,0.466,1004,1377,0.7290000000000001,896,2493,3389,1867,609,384,1070,1505,7640,PHI,2012-13,2012
82,19930,3036,6955,0.4370000000000001,584,1640,0.35600000000000004,2452,5315,0.461,1398,1861,0.7509999999999999,989,2629,3618,1738,579,304,1163,1640,8054,CLE,2013-14,2013
82,19830,3026,6766,0.447,491,1475,0.333,2535,5291,0.479,1698,2237,0.759,990,2656,3646,1547,587,318,1249,1849,8241,SAC,2013-14,2013
82,19755,3147,7042,0.447,702,1959,0.358,2445,5083,0.481,1563,2154,0.726,1009,2717,3726,1838,615,459,1305,1890,8559,DEN,2013-14,2013
82,19830,3118,6603,0.472,779,2179,0.358,2339,4424,0.529,1814,2549,0.7120000000000001,920,2797,3717,1755,621,461,1323,1676,8829,HOU,2013-14,2013
82,19855,3101,6761,0.459,486,1303,0.373,2615,5458,0.479,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177,NOP,2013-14,2013
82,19780,2949,6573,0.449,550,1542,0.35700000000000004,2399,5031,0.477,1485,1907,0.779,834,2831,3665,1651,550,446,1237,1675,7933,IND,2013-14,2013
82,19880,2952,6737,0.438,548,1553,0.353,2404,5184,0.464,1377,1843,0.747,971,2399,3370,1760,541,403,1238,1713,7829,MIL,2013-14,2013
82,19805,3122,6723,0.464,405,1147,0.353,2717,5576,0.487,1235,1666,0.741,950,2526,3476,1792,631,375,1124,1568,7884,MEM,2013-14,2013
82,19805,3194,6782,0.471,664,1839,0.361,2530,4943,0.512,1653,2052,0.8059999999999999,887,2781,3668,1794,678,501,1256,1858,8705,OKC,2013-14,2013
82,19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.4970000000000001,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079,BRK,2013-14,2013
82,19830,3061,6688,0.458,768,2116,0.363,2293,4572,0.502,1392,1782,0.7809999999999999,713,2565,3278,2041,680,326,1251,1577,8282,ATL,2013-14,2013
82,19830,3249,6858,0.474,721,1877,0.384,2528,4981,0.508,1378,1733,0.795,840,2514,3354,1935,704,356,1110,1636,8597,DAL,2013-14,2013
82,19755,3326,6844,0.486,698,1757,0.397,2628,5087,0.517,1289,1642,0.785,762,2786,3548,2064,604,420,1180,1495,8639,SAS,2013-14,2013
82,19955,3022,6784,0.445,563,1596,0.353,2459,5188,0.474,1307,1714,0.763,794,2654,3448,1726,630,350,1222,1678,7914,ORL,2013-14,2013
82,19730,2996,6883,0.435,575,1729,0.333,2421,5154,0.47,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892,BOS,2013-14,2013
82,19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549,GSW,2013-14,2013
82,19755,3172,6845,0.463,765,2055,0.3720000000000001,2407,4790,0.503,1520,2004,0.758,928,2601,3529,1563,688,374,1258,1798,8629,PHO,2013-14,2013
82,19930,2843,6577,0.4320000000000001,508,1459,0.348,2335,5118,0.456,1486,1908,0.779,937,2683,3620,1860,594,424,1223,1565,7680,CHI,2013-14,2013
82,19955,2992,6718,0.445,713,1917,0.3720000000000001,2279,4801,0.475,1608,2055,0.782,935,2552,3487,1737,577,343,1159,1882,8305,TOR,2013-14,2013
82,19705,3139,6980,0.45,774,2032,0.381,2365,4948,0.478,1390,1835,0.757,745,2620,3365,2006,611,446,1239,1627,8442,LAL,2013-14,2013
82,19855,3189,7175,0.444,600,1757,0.341,2589,5418,0.478,1790,2301,0.778,1024,2644,3668,1963,718,297,1142,1504,8768,MIN,2013-14,2013
82,19855,3027,6739,0.449,759,2038,0.3720000000000001,2268,4701,0.482,1271,1670,0.7609999999999999,870,2437,3307,1641,631,367,1063,1815,8084,NYK,2013-14,2013
82,19780,2951,6652,0.444,543,1577,0.344,2408,5075,0.474,1346,1803,0.747,904,2477,3381,1664,570,366,1200,1699,7791,UTA,2013-14,2013
82,19855,3207,7134,0.45,770,2071,0.3720000000000001,2437,5063,0.481,1569,1926,0.815,1022,2786,3808,1904,454,387,1125,1576,8753,POR,2013-14,2013
82,19905,2976,6730,0.442,516,1471,0.35100000000000003,2460,5259,0.468,1474,2000,0.737,776,2724,3500,1778,499,421,1010,1493,7942,CHA,2013-14,2013
82,19755,3208,6761,0.474,693,1966,0.35200000000000004,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850,LAC,2013-14,2013
82,19880,3142,6272,0.501,665,1829,0.364,2477,4443,0.5579999999999999,1431,1884,0.76,627,2397,3024,1847,732,367,1212,1596,8380,MIA,2013-14,2013
82,20055,3177,6920,0.459,647,1704,0.38,2530,5216,0.485,1253,1715,0.731,886,2573,3459,1909,668,377,1204,1675,8254,WAS,2013-14,2013
82,19780,3182,7124,0.447,507,1580,0.321,2675,5544,0.483,1415,2111,0.67,1196,2525,3721,1714,687,395,1193,1666,8286,DET,2013-14,2013
82,19855,3108,7150,0.435,577,1847,0.312,2531,5303,0.477,1362,1918,0.71,949,2556,3505,1791,765,330,1384,1844,8155,PHI,2013-14,2013
82,19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.7340000000000001,1012,2653,3665,1788,641,367,1166,1882,8320,DEN,2014-15,2014
82,19855,3010,6617,0.455,461,1350,0.341,2549,5267,0.484,1829,2400,0.762,895,2728,3623,1667,550,324,1333,1696,8310,SAC,2014-15,2014
82,19780,3089,6739,0.458,826,2253,0.3670000000000001,2263,4486,0.504,1453,1934,0.7509999999999999,911,2612,3523,1814,603,340,1171,1510,8457,CLE,2014-15,2014
82,19805,3032,6832,0.444,933,2680,0.348,2099,4152,0.506,1525,2133,0.715,958,2624,3582,1820,777,407,1366,1803,8522,HOU,2014-15,2014
82,19780,3108,6795,0.457,586,1583,0.37,2522,5212,0.484,1345,1790,0.7509999999999999,942,2621,3563,1806,553,510,1087,1530,8147,NOP,2014-15,2014
82,19855,2998,6824,0.439,612,1740,0.35200000000000004,2386,5084,0.469,1373,1817,0.7559999999999999,856,2822,3678,1757,505,375,1147,1742,7981,IND,2014-15,2014
82,19930,3083,6722,0.459,545,1500,0.363,2538,5222,0.486,1312,1734,0.757,876,2574,3450,1932,789,403,1373,1814,8023,MIL,2014-15,2014
82,19905,3097,6763,0.458,423,1246,0.339,2674,5517,0.485,1445,1869,0.773,856,2634,3490,1777,700,347,1094,1567,8062,MEM,2014-15,2014
82,19830,3184,7119,0.447,632,1864,0.339,2552,5255,0.486,1524,2020,0.754,1052,2844,3896,1681,598,454,1205,1829,8524,OKC,2014-15,2014
82,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038,BRK,2014-15,2014
82,19730,3121,6699,0.466,818,2152,0.38,2303,4547,0.506,1349,1735,0.778,715,2611,3326,2111,744,380,1167,1457,8409,ATL,2014-15,2014
82,19880,3255,7036,0.463,732,2082,0.35200000000000004,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628,DAL,2014-15,2014
82,19955,3208,6854,0.468,677,1847,0.3670000000000001,2531,5007,0.505,1368,1754,0.78,806,2772,3578,2000,657,444,1146,1564,8461,SAS,2014-15,2014
82,19755,3076,6792,0.453,554,1598,0.34700000000000003,2522,5194,0.486,1141,1565,0.7290000000000001,822,2607,3429,1692,647,314,1221,1714,7847,ORL,2014-15,2014
82,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312,BOS,2014-15,2014
82,19880,3001,6797,0.442,645,1825,0.353,2356,4972,0.474,1618,2067,0.7829999999999999,959,2792,3751,1781,514,476,1145,1495,8265,CHI,2014-15,2014
82,19880,3178,7038,0.452,698,2048,0.341,2480,4990,0.4970000000000001,1343,1767,0.76,896,2643,3539,1659,700,385,1238,1744,8397,PHO,2014-15,2014
82,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,GSW,2014-15,2014
82,19855,3108,6829,0.455,726,2060,0.35200000000000004,2382,4769,0.499,1585,2014,0.787,881,2526,3407,1701,615,357,1057,1712,8527,TOR,2014-15,2014
82,19930,3054,7020,0.435,532,1546,0.344,2522,5474,0.461,1433,1935,0.741,952,2647,3599,1715,578,366,1086,1741,8073,LAL,2014-15,2014
82,19805,2986,6820,0.438,406,1223,0.332,2580,5597,0.461,1638,2110,0.7759999999999999,949,2406,3355,1771,668,327,1231,1571,8016,MIN,2014-15,2014
82,19855,2882,6726,0.428,560,1614,0.34700000000000003,2322,5112,0.454,1211,1575,0.769,867,2443,3310,1746,575,382,1206,1768,7535,NYK,2014-15,2014
82,19705,2900,6492,0.447,610,1781,0.343,2290,4711,0.486,1391,1929,0.721,988,2617,3605,1632,623,489,1256,1583,7801,UTA,2014-15,2014
82,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.8009999999999999,879,2881,3760,1799,525,372,1117,1494,8429,POR,2014-15,2014
82,19730,3228,6830,0.473,827,2202,0.376,2401,4628,0.519,1468,2067,0.71,784,2711,3495,2031,640,409,1012,1749,8751,LAC,2014-15,2014
82,19730,2885,6330,0.456,556,1659,0.335,2329,4671,0.499,1438,1940,0.741,747,2461,3208,1626,642,372,1214,1636,7764,MIA,2014-15,2014
82,19955,3139,6790,0.462,497,1381,0.36,2642,5409,0.488,1305,1758,0.742,862,2801,3663,1969,601,378,1233,1707,8080,WAS,2014-15,2014
82,19830,3041,7038,0.4320000000000001,703,2043,0.344,2338,4995,0.468,1292,1838,0.703,1051,2630,3681,1771,623,383,1099,1559,8077,DET,2014-15,2014
82,19805,2765,6777,0.408,692,2160,0.32,2073,4617,0.449,1320,1953,0.6759999999999999,978,2536,3514,1683,789,487,1453,1778,7542,PHI,2014-15,2014
82,19805,3283,7083,0.464,660,1839,0.359,2623,5244,0.5,1514,2089,0.725,868,2760,3628,2009,733,368,1326,1676,8740,SAC,2015-16,2015
82,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,CLE,2015-16,2015
82,19830,3093,7003,0.442,656,1943,0.338,2437,5060,0.482,1513,1974,0.7659999999999999,941,2718,3659,1858,609,395,1202,1723,8355,DEN,2015-16,2015
82,19830,3094,6847,0.452,878,2533,0.34700000000000003,2216,4314,0.514,1671,2407,0.6940000000000001,930,2601,3531,1821,821,430,1307,1790,8737,HOU,2015-16,2015
82,19780,3153,7040,0.448,702,1951,0.36,2451,5089,0.482,1415,1823,0.7759999999999999,782,2712,3494,1818,633,342,1102,1713,8423,NOP,2015-16,2015
82,19880,3142,6985,0.45,663,1889,0.35100000000000003,2479,5096,0.486,1430,1872,0.764,847,2779,3626,1741,742,391,1219,1641,8377,IND,2015-16,2015
82,19830,3145,6740,0.467,440,1277,0.345,2705,5463,0.495,1392,1863,0.747,858,2559,3417,1895,672,475,1247,1695,8122,MIL,2015-16,2015
82,19830,3019,6859,0.44,504,1521,0.331,2515,5338,0.471,1584,2024,0.7829999999999999,916,2497,3413,1697,724,350,1090,1783,8126,MEM,2015-16,2015
82,19830,3372,7082,0.476,678,1945,0.349,2694,5137,0.524,1616,2067,0.782,1071,2916,3987,1883,603,487,1305,1691,9038,OKC,2015-16,2015
82,19755,3136,6920,0.453,531,1508,0.35200000000000004,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089,BRK,2015-16,2015
82,19830,3168,6923,0.458,815,2326,0.35,2353,4597,0.512,1282,1638,0.7829999999999999,679,2772,3451,2100,747,486,1226,1570,8433,ATL,2015-16,2015
82,20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388,DAL,2015-16,2015
82,19705,3289,6797,0.484,570,1518,0.375,2719,5279,0.515,1342,1672,0.8029999999999999,770,2831,3601,2010,677,485,1071,1433,8490,SAS,2015-16,2015
82,19905,3242,7120,0.455,636,1818,0.35,2606,5302,0.4920000000000001,1249,1649,0.757,843,2709,3552,1933,673,417,1155,1701,8369,ORL,2015-16,2015
82,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.7879999999999999,950,2733,3683,1981,752,348,1127,1796,8669,BOS,2015-16,2015
82,19905,3165,7170,0.441,651,1753,0.371,2514,5417,0.464,1354,1720,0.787,907,2889,3796,1870,495,470,1141,1545,8335,CHI,2015-16,2015
82,19880,3489,7159,0.487,1077,2592,0.416,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421,GSW,2015-16,2015
82,19705,3051,7018,0.435,738,2118,0.348,2313,4900,0.472,1431,1905,0.7509999999999999,943,2733,3676,1701,632,313,1410,1858,8271,PHO,2015-16,2015
